date,temp_moy_c,temp_max_c,temp_min_c,humidite_moy_pct,precip_mm,vent_max_kmh
2022-08-18,17.9,20.1,16.5,85,0.4,16.6
2022-08-19,18.2,20.8,14.4,84,3.1,18.0
2022-08-20,16.5,19.1,13.1,79,0.0,15.7
2022-08-21,17.1,18.7,15.8,89,4.8,18.1
2022-08-22,18.1,19.6,16.8,96,1.1,17.8
2022-08-23,18.6,20.7,17.8,93,0.5,18.3
2022-08-24,19.4,23.0,16.9,86,0.0,13.4
2022-08-25,17.6,20.1,14.8,80,0.9,24.3
2022-08-26,16.5,19.6,12.9,83,0.0,13.8
2022-08-27,17.4,22.2,13.2,79,0.0,16.3
2022-08-28,19.6,24.9,16.2,71,0.0,20.5
2022-08-29,19.8,25.5,15.9,74,0.0,21.6
2022-08-30,20.4,25.4,16.9,75,0.0,23.7
2022-08-31,19.5,23.1,17.4,81,8.6,23.5
2022-09-01,17.9,19.8,15.5,91,8.8,19.9
2022-09-02,17.1,19.9,15.1,93,4.9,12.5
2022-09-03,17.0,18.6,15.5,86,3.7,27.5
2022-09-04,17.9,19.1,17.0,90,23.7,35.6
2022-09-05,18.0,20.6,16.7,87,16.5,32.0
2022-09-06,17.2,19.1,15.9,83,7.1,32.2
2022-09-07,16.8,18.5,15.5,83,9.5,33.8
2022-09-08,16.5,18.1,15.4,83,2.2,29.6
2022-09-09,16.5,18.4,15.1,84,2.4,25.2
2022-09-10,16.6,19.8,14.0,84,0.0,12.3
2022-09-11,18.8,23.0,15.0,83,2.8,19.3
2022-09-12,20.8,24.6,18.2,75,1.3,16.2
2022-09-13,21.9,24.5,19.0,79,0.4,21.2
2022-09-14,18.1,19.8,15.5,94,9.7,20.9
2022-09-15,16.1,18.2,13.8,81,0.1,23.1
2022-09-16,14.8,17.4,12.5,72,0.1,19.8
2022-09-17,13.6,17.2,10.7,76,0.0,14.7
2022-09-18,12.3,17.5,8.1,81,0.0,17.1
2022-09-19,14.0,19.3,10.4,81,0.0,16.5
2022-09-20,14.7,19.4,11.1,83,0.0,14.1
2022-09-21,14.8,19.3,10.6,80,0.0,11.5
2022-09-22,14.3,18.4,10.3,88,0.0,11.2
2022-09-23,14.8,17.4,13.6,89,16.5,19.5
2022-09-24,13.8,15.9,12.1,79,0.5,18.1
2022-09-25,13.4,16.5,11.0,78,0.2,19.2
2022-09-26,14.2,16.1,11.0,80,2.0,30.8
2022-09-27,14.9,16.2,13.4,82,4.9,31.4
2022-09-28,13.6,15.5,12.1,83,1.4,31.0
2022-09-29,12.4,14.6,9.9,82,1.0,28.9
2022-09-30,13.1,16.4,9.0,91,2.9,34.4
2022-10-01,16.5,17.8,15.2,90,1.6,29.3
2022-10-02,15.7,16.7,12.6,90,1.1,32.8
2022-10-03,14.9,17.2,12.6,90,0.0,13.2
2022-10-04,15.1,16.5,13.4,92,2.4,27.3
2022-10-05,15.4,16.7,13.5,86,2.9,32.5
2022-10-06,13.7,17.0,11.1,84,0.0,15.1
2022-10-07,13.8,16.2,11.4,88,1.4,20.7
2022-10-08,13.0,16.2,9.4,85,0.7,11.8
2022-10-09,13.8,17.6,10.1,79,0.6,20.9
2022-10-10,14.1,15.8,11.2,88,0.5,23.7
2022-10-11,13.0,17.4,10.0,80,0.0,14.1
2022-10-12,13.3,15.4,9.3,84,0.0,16.6
2022-10-13,14.9,17.4,12.4,93,6.7,25.9
2022-10-14,14.7,16.6,12.9,95,21.2,28.7
2022-10-15,14.2,15.6,13.6,87,2.4,26.4
2022-10-16,14.4,16.4,12.2,91,7.7,37.5
2022-10-17,15.1,17.0,13.9,88,4.1,30.0
2022-10-18,17.0,21.0,13.7,85,0.0,24.2
2022-10-19,17.4,20.5,15.1,86,0.0,29.6
2022-10-20,15.7,19.0,12.9,83,0.7,27.6
2022-10-21,15.4,16.8,14.6,85,22.6,48.6
2022-10-22,15.6,17.8,14.1,88,7.4,25.0
2022-10-23,14.2,15.9,12.9,88,7.8,44.6
2022-10-24,14.2,15.2,13.4,87,8.2,33.4
2022-10-25,15.4,16.9,14.1,88,2.6,29.7
2022-10-26,15.9,16.8,15.2,88,3.2,38.0
2022-10-27,16.8,19.2,15.4,88,7.7,29.0
2022-10-28,15.6,18.6,14.1,86,1.9,36.7
2022-10-29,16.3,17.8,14.8,86,6.3,34.5
2022-10-30,14.8,16.1,13.7,84,3.3,30.9
2022-10-31,14.2,15.6,12.6,86,5.9,41.1
2022-11-01,13.9,15.8,12.9,73,12.9,39.8
2022-11-02,13.9,15.2,12.6,75,5.3,41.3
2022-11-03,12.4,13.8,10.9,84,32.5,36.4
2022-11-04,11.4,13.2,9.8,77,1.7,40.5
2022-11-05,13.5,14.8,11.6,84,10.5,28.8
2022-11-06,14.0,14.9,12.9,84,9.6,36.1
2022-11-07,14.5,15.4,13.6,81,5.2,49.5
2022-11-08,13.1,14.1,11.6,81,18.8,43.3
2022-11-09,12.8,14.4,11.4,77,6.0,30.6
2022-11-10,14.0,15.2,12.7,85,1.1,27.9
2022-11-11,13.8,14.9,11.8,90,0.8,26.8
2022-11-12,14.8,17.8,12.2,87,0.0,26.0
2022-11-13,15.0,17.1,13.5,89,0.0,22.3
2022-11-14,12.9,14.8,11.8,81,6.1,34.2
2022-11-15,12.2,14.1,9.8,84,33.9,47.7
2022-11-16,12.1,14.5,10.6,80,16.2,46.2
2022-11-17,10.8,11.7,9.9,81,15.5,30.1
2022-11-18,9.7,11.1,6.2,78,3.5,24.6
2022-11-19,8.7,11.1,5.6,80,1.3,22.1
2022-11-20,11.5,13.0,10.1,80,1.7,30.1
2022-11-21,10.5,12.4,8.5,76,11.1,43.9
2022-11-22,10.3,11.7,8.6,71,2.8,38.5
2022-11-23,11.8,12.9,10.1,76,9.7,39.3
2022-11-24,11.9,13.1,10.5,73,4.8,43.2
2022-11-25,10.6,12.6,9.1,81,2.7,24.9
2022-11-26,12.5,14.0,11.1,79,27.1,37.2
2022-11-27,12.4,14.2,10.4,92,13.0,35.3
2022-11-28,10.5,12.1,9.2,77,2.1,26.1
2022-11-29,9.7,11.8,6.4,86,0.0,16.6
2022-11-30,8.2,9.9,6.3,87,0.0,15.6
2022-12-01,6.6,9.8,3.7,87,0.0,16.6
2022-12-02,6.0,8.9,2.8,83,0.0,13.4
2022-12-03,6.1,7.1,3.8,83,0.4,22.4
2022-12-04,4.6,6.7,3.1,85,0.0,16.5
2022-12-05,4.5,7.5,2.4,87,0.0,16.2
2022-12-06,4.5,7.8,2.7,86,0.0,14.1
2022-12-07,4.5,7.4,2.5,88,0.0,9.6
2022-12-08,4.4,6.8,1.6,82,0.0,17.3
2022-12-09,2.4,5.5,-0.3,88,0.5,8.9
2022-12-10,2.4,6.0,-0.4,92,0.0,11.3
2022-12-11,3.0,6.1,1.1,93,1.6,11.5
2022-12-12,2.1,4.3,0.2,89,0.0,20.7
2022-12-13,1.7,3.7,0.0,85,2.8,20.3
2022-12-14,3.0,4.1,2.0,90,4.8,27.1
2022-12-15,4.4,5.6,3.3,73,2.7,27.5
2022-12-16,3.4,6.8,-0.4,77,0.0,15.6
2022-12-17,1.3,3.9,-0.4,84,0.0,14.8
2022-12-18,9.0,13.1,0.8,90,36.6,43.9
2022-12-19,13.0,13.7,12.4,90,25.4,45.2
2022-12-20,10.5,12.9,8.4,90,7.8,38.6
2022-12-21,11.2,12.9,9.6,91,11.5,39.0
2022-12-22,12.7,13.7,12.0,92,10.2,40.9
2022-12-23,12.5,13.4,11.2,90,21.2,36.8
2022-12-24,11.2,11.5,10.9,90,3.9,28.8
2022-12-25,10.5,11.2,9.5,91,13.5,23.9
2022-12-26,8.9,10.8,6.5,82,0.8,23.2
2022-12-27,9.9,11.1,8.4,75,3.6,32.3
2022-12-28,11.2,12.2,10.6,89,14.8,41.6
2022-12-29,9.9,10.7,9.2,71,0.9,35.8
2022-12-30,12.1,13.4,10.1,90,28.7,47.4
2022-12-31,12.9,13.8,11.6,91,24.8,50.5
2023-01-01,10.6,11.4,9.1,84,5.2,34.1
2023-01-02,8.8,10.2,7.1,87,1.1,18.0
2023-01-03,11.5,12.6,9.5,85,10.4,38.5
2023-01-04,12.6,13.2,12.1,94,4.2,36.2
2023-01-05,11.7,12.5,11.2,92,1.6,33.4
2023-01-06,11.9,12.4,11.7,92,5.1,37.4
2023-01-07,10.8,12.1,9.1,82,18.6,48.0
2023-01-08,8.9,9.6,8.2,77,13.0,40.3
2023-01-09,8.6,10.1,7.2,69,1.9,38.1
2023-01-10,11.7,12.9,9.1,88,11.6,37.7
2023-01-11,10.7,11.7,9.8,78,1.9,36.4
2023-01-12,11.2,11.6,10.4,90,9.1,42.6
2023-01-13,10.3,11.1,9.6,78,0.7,31.8
2023-01-14,10.5,12.6,7.2,89,11.7,40.2
2023-01-15,7.7,9.8,6.7,74,17.1,48.3
2023-01-16,6.3,8.7,4.4,83,13.2,45.8
2023-01-17,4.8,6.2,3.7,77,3.2,32.2
2023-01-18,4.7,6.7,2.3,71,2.8,28.5
2023-01-19,4.7,5.9,2.5,80,4.8,19.2
2023-01-20,5.4,8.2,1.7,79,0.1,10.2
2023-01-21,4.0,7.7,1.5,85,0.0,12.1
2023-01-22,2.6,5.3,1.4,82,0.0,10.5
2023-01-23,2.0,6.1,-1.5,87,0.0,15.0
2023-01-24,5.4,8.1,1.5,84,0.0,23.1
2023-01-25,6.0,8.8,3.6,85,0.2,18.7
2023-01-26,7.6,9.2,6.4,78,2.6,28.7
2023-01-27,6.2,7.2,4.9,74,0.0,23.5
2023-01-28,5.6,7.2,2.8,72,0.0,17.1
2023-01-29,6.0,8.2,2.8,80,0.0,12.6
2023-01-30,8.9,11.2,7.1,89,0.8,14.8
2023-01-31,7.8,10.7,4.8,87,0.4,18.2
2023-02-01,7.9,10.4,5.5,79,0.0,16.9
2023-02-02,8.9,10.3,8.1,78,0.3,16.2
2023-02-03,8.6,10.4,6.0,84,0.0,13.4
2023-02-04,7.2,8.4,5.5,77,0.0,6.8
2023-02-05,7.5,11.4,4.8,86,0.0,15.6
2023-02-06,5.1,10.1,2.2,77,0.0,15.9
2023-02-07,4.2,8.2,1.3,76,0.0,22.4
2023-02-08,3.7,10.2,-1.2,83,0.0,10.9
2023-02-09,7.6,11.1,4.1,86,0.1,9.3
2023-02-10,6.5,10.3,4.6,96,0.0,11.4
2023-02-11,6.5,11.3,3.8,90,0.0,13.6
2023-02-12,6.9,11.9,3.8,82,0.0,14.0
2023-02-13,7.4,12.5,3.8,87,0.0,21.5
2023-02-14,8.9,13.1,6.5,78,0.0,18.3
2023-02-15,9.6,13.2,7.3,90,1.6,17.9
2023-02-16,10.6,11.6,8.8,96,5.2,24.9
2023-02-17,10.9,11.8,10.3,94,0.1,18.6
2023-02-18,10.6,11.6,9.7,90,0.4,21.4
2023-02-19,9.7,10.6,7.2,87,0.0,13.9
2023-02-20,7.2,9.9,5.3,90,0.0,13.6
2023-02-21,6.9,10.6,3.5,93,2.0,8.2
2023-02-22,7.9,9.1,3.5,81,5.3,24.5
2023-02-23,5.5,8.3,1.5,83,0.2,27.0
2023-02-24,7.6,8.9,6.6,78,0.0,31.6
2023-02-25,6.8,8.6,4.8,75,0.0,26.6
2023-02-26,5.6,7.6,4.3,69,0.1,26.3
2023-02-27,5.2,8.1,3.2,68,0.0,28.6
2023-02-28,5.5,7.5,3.0,75,0.8,25.1
2023-03-01,4.6,7.3,0.4,74,1.7,24.8
2023-03-02,5.2,8.5,1.1,77,0.0,17.4
2023-03-03,5.8,8.4,2.5,77,0.0,22.1
2023-03-04,6.2,8.1,4.5,74,0.2,16.4
2023-03-05,5.2,6.8,4.1,76,0.1,11.3
2023-03-06,5.5,7.1,4.1,82,1.1,15.0
2023-03-07,7.4,9.4,5.3,89,9.3,25.8
2023-03-08,11.1,12.8,8.9,91,16.9,38.0
2023-03-09,10.9,11.9,9.9,90,13.2,47.0
2023-03-10,7.1,9.6,5.2,79,14.4,47.2
2023-03-11,10.4,13.1,5.3,94,3.2,25.2
2023-03-12,11.1,12.6,10.2,94,3.5,33.6
2023-03-13,11.4,12.2,10.2,89,18.2,42.5
2023-03-14,9.1,10.2,7.7,70,1.0,39.1
2023-03-15,9.1,11.1,6.0,88,1.0,26.3
2023-03-16,10.6,12.6,9.2,91,2.0,28.8
2023-03-17,11.0,12.4,9.5,91,6.0,32.7
2023-03-18,10.5,12.9,8.4,90,1.5,16.6
2023-03-19,9.7,11.2,8.4,76,0.0,16.8
2023-03-20,10.5,12.0,8.9,89,1.5,29.6
2023-03-21,11.0,12.4,10.2,90,7.4,31.2
2023-03-22,11.5,12.8,10.2,91,17.0,38.8
2023-03-23,10.9,11.6,9.9,89,14.9,42.1
2023-03-24,10.1,11.5,9.1,80,20.3,48.3
2023-03-25,10.3,11.8,9.2,80,14.8,35.4
2023-03-26,9.7,11.9,8.1,78,3.8,34.8
2023-03-27,9.1,12.2,5.3,86,0.5,13.8
2023-03-28,10.9,12.7,9.4,87,1.8,32.8
2023-03-29,12.4,13.9,11.2,88,1.1,35.1
2023-03-30,11.6,13.2,10.1,88,16.9,49.4
2023-03-31,11.0,11.9,10.1,83,21.2,49.9
2023-04-01,10.0,11.8,8.4,82,2.3,30.0
2023-04-02,9.9,12.4,6.8,81,0.4,22.6
2023-04-03,8.8,13.6,5.2,79,0.0,13.4
2023-04-04,7.8,13.1,3.2,80,0.0,13.7
2023-04-05,8.2,10.4,5.7,89,4.3,15.9
2023-04-06,10.8,13.2,7.9,84,4.5,17.4
2023-04-07,8.8,14.4,4.1,83,0.0,17.7
2023-04-08,10.2,14.9,6.4,72,0.0,22.2
2023-04-09,11.1,15.3,7.9,80,0.8,22.2
2023-04-10,11.5,13.6,9.9,90,9.8,29.7
2023-04-11,10.3,11.4,9.4,83,18.2,41.4
2023-04-12,8.7,10.1,7.3,70,3.6,47.2
2023-04-13,8.6,10.6,6.4,72,2.0,26.4
2023-04-14,10.5,12.6,8.8,84,6.4,39.0
2023-04-15,10.5,13.4,8.1,76,0.0,18.7
2023-04-16,9.9,13.5,6.8,82,0.0,11.8
2023-04-17,11.4,18.4,6.2,76,0.0,20.4
2023-04-18,10.3,14.1,7.3,79,0.3,25.7
2023-04-19,11.1,16.2,6.7,80,0.1,21.5
2023-04-20,11.9,15.9,9.2,69,0.0,23.2
2023-04-21,9.6,13.3,5.7,70,0.0,20.1
2023-04-22,10.8,12.9,8.7,86,18.4,33.3
2023-04-23,10.6,11.9,9.4,83,2.6,30.2
2023-04-24,10.3,12.9,8.1,78,2.1,24.2
2023-04-25,9.3,12.1,6.6,83,2.1,18.2
2023-04-26,11.8,14.4,9.6,90,1.9,17.2
2023-04-27,11.9,14.1,9.1,96,6.8,24.1
2023-04-28,12.7,14.8,11.2,91,0.5,17.1
2023-04-29,13.5,18.1,10.4,84,0.1,12.6
2023-04-30,12.9,14.7,11.2,90,1.7,15.9
2023-05-01,11.8,15.1,9.6,83,0.5,14.5
2023-05-02,11.9,18.1,7.3,86,0.0,15.1
2023-05-03,15.6,20.2,11.9,67,0.0,23.0
2023-05-04,14.0,16.9,12.6,85,13.2,31.9
2023-05-05,13.4,15.1,11.8,89,6.1,27.6
2023-05-06,13.9,15.4,12.8,92,25.0,32.1
2023-05-07,13.3,15.6,11.2,87,0.4,14.8
2023-05-08,13.2,14.1,12.0,97,16.2,25.6
2023-05-09,13.0,14.6,11.4,89,8.0,34.5
2023-05-10,12.4,14.4,10.6,81,2.0,22.8
2023-05-11,11.9,14.8,9.9,80,1.8,19.0
2023-05-12,12.2,15.4,8.9,85,1.3,26.6
2023-05-13,12.9,15.4,10.2,85,0.0,20.2
2023-05-14,12.5,16.6,8.6,88,0.0,15.0
2023-05-15,12.6,14.4,10.1,76,0.6,27.7
2023-05-16,11.9,15.6,8.4,73,0.2,17.3
2023-05-17,12.8,17.5,8.9,78,0.1,18.0
2023-05-18,12.7,16.9,9.0,80,0.1,18.9
2023-05-19,13.1,16.4,10.1,81,0.0,22.9
2023-05-20,12.9,16.0,9.8,77,0.0,22.7
2023-05-21,13.6,17.2,10.6,75,0.0,22.3
2023-05-22,13.9,17.3,10.3,73,0.0,24.8
2023-05-23,14.6,19.1,11.9,75,0.0,24.4
2023-05-24,13.9,18.2,10.1,71,0.0,18.6
2023-05-25,14.6,18.4,11.1,76,0.0,29.3
2023-05-26,14.1,17.9,10.6,77,0.0,28.6
2023-05-27,15.2,19.9,11.1,78,0.0,21.3
2023-05-28,15.3,20.3,11.3,74,0.0,23.4
2023-05-29,15.4,18.7,12.6,74,0.0,31.6
2023-05-30,14.6,18.6,10.9,76,0.0,29.0
2023-05-31,14.6,18.5,11.5,78,0.0,25.7
2023-06-01,15.9,20.1,12.4,80,0.0,27.3
2023-06-02,14.9,19.0,11.6,77,0.0,27.0
2023-06-03,14.7,19.1,9.9,75,0.0,24.7
2023-06-04,17.3,22.5,12.6,68,0.0,22.9
2023-06-05,17.2,22.2,12.8,70,0.0,22.7
2023-06-06,17.0,22.7,12.1,75,0.0,20.4
2023-06-07,18.3,25.4,11.8,74,0.0,21.9
2023-06-08,20.4,24.6,18.3,70,13.9,23.0
2023-06-09,19.1,22.9,16.2,85,13.2,20.4
2023-06-10,18.1,20.5,16.5,90,1.0,16.1
2023-06-11,17.1,19.6,15.4,87,2.0,12.6
2023-06-12,16.1,21.2,12.8,86,0.0,16.9
2023-06-13,16.7,20.6,13.4,88,0.0,15.3
2023-06-14,16.0,19.6,13.8,89,0.0,14.0
2023-06-15,16.8,20.8,14.1,86,0.0,13.0
2023-06-16,17.7,23.6,14.6,87,4.8,13.6
2023-06-17,17.9,21.0,14.4,85,0.1,13.0
2023-06-18,17.1,19.0,15.1,90,3.5,15.7
2023-06-19,18.1,21.0,15.6,84,3.1,16.9
2023-06-20,17.3,19.9,14.9,88,3.7,20.3
2023-06-21,18.0,20.5,15.9,82,0.8,15.5
2023-06-22,17.8,22.4,14.3,80,0.0,14.3
2023-06-23,17.8,21.2,13.6,85,0.8,16.4
2023-06-24,20.6,26.5,13.4,75,0.0,15.5
2023-06-25,19.3,21.5,16.6,78,0.3,23.1
2023-06-26,17.6,19.8,15.6,68,0.0,15.9
2023-06-27,17.3,20.0,14.2,77,0.2,14.6
2023-06-28,18.2,20.5,15.8,86,1.4,14.8
2023-06-29,17.3,19.5,14.6,70,1.7,23.9
2023-06-30,16.7,19.0,14.8,81,4.7,24.5
2023-07-01,17.5,19.8,15.6,82,5.8,26.4
2023-07-02,16.7,18.2,15.6,80,2.3,25.2
2023-07-03,16.5,18.9,13.6,74,0.0,18.1
2023-07-04,15.9,18.5,13.9,82,2.1,26.1
2023-07-05,15.8,18.5,12.9,72,0.8,20.6
2023-07-06,16.1,19.7,12.2,74,0.1,22.7
2023-07-07,19.9,24.9,14.9,67,0.0,20.8
2023-07-08,19.0,20.5,17.4,79,0.2,25.1
2023-07-09,17.9,20.4,16.2,78,1.9,22.0
2023-07-10,18.7,21.0,16.5,79,0.2,35.5
2023-07-11,17.6,19.0,15.4,88,5.2,28.0
2023-07-12,16.3,18.4,13.8,79,1.9,25.8
2023-07-13,17.0,19.1,14.9,79,0.9,19.6
2023-07-14,17.9,19.3,16.5,85,7.1,41.4
2023-07-15,16.5,18.0,15.3,77,8.4,41.6
2023-07-16,15.8,17.4,13.8,80,2.1,25.9
2023-07-17,16.3,18.8,13.9,73,0.4,16.2
2023-07-18,15.9,19.8,10.8,80,0.1,22.0
2023-07-19,17.0,19.5,14.8,80,0.8,19.1
2023-07-20,15.8,18.4,13.3,80,1.5,13.5
2023-07-21,15.8,19.9,12.1,74,0.2,17.6
2023-07-22,16.0,17.6,13.7,82,7.5,34.1
2023-07-23,17.3,18.4,15.4,90,18.8,34.7
2023-07-24,16.5,19.0,14.9,83,4.7,28.3
2023-07-25,16.3,18.2,14.3,72,0.7,20.0
2023-07-26,16.9,19.2,14.6,87,1.2,24.7
2023-07-27,17.4,18.2,16.6,95,26.9,29.1
2023-07-28,17.5,19.4,16.4,90,4.0,24.7
2023-07-29,16.9,19.2,15.4,85,2.0,22.7
2023-07-30,17.1,19.0,15.6,81,1.2,30.2
2023-07-31,17.7,18.7,16.4,94,13.5,33.2
2023-08-01,16.8,18.2,15.7,92,13.5,34.8
2023-08-02,16.9,18.5,16.0,86,10.5,51.9
2023-08-03,15.9,17.1,14.8,85,9.4,31.1
2023-08-04,15.8,17.9,14.1,79,1.0,20.5
2023-08-05,16.0,17.8,14.3,80,8.7,40.6
2023-08-06,15.4,17.6,13.4,81,1.7,21.1
2023-08-07,14.7,17.8,10.4,82,0.0,13.2
2023-08-08,15.8,17.5,13.2,87,1.0,23.8
2023-08-09,19.4,25.2,14.8,87,0.0,13.0
2023-08-10,18.9,20.9,16.0,90,1.1,22.0
2023-08-11,18.2,19.5,16.4,95,4.1,20.6
2023-08-12,17.4,19.2,16.0,88,1.6,26.4
2023-08-13,17.2,19.2,15.4,85,2.5,22.6
2023-08-14,17.1,19.0,14.2,90,9.6,27.8
2023-08-15,15.8,19.8,12.1,84,0.7,12.4
2023-08-16,16.2,20.5,12.2,85,0.6,12.8
2023-08-17,17.8,22.9,13.6,83,0.0,12.1
2023-08-18,18.7,21.1,16.8,85,6.7,39.5
2023-08-19,18.4,20.0,16.8,87,2.5,27.7
2023-08-20,17.9,20.4,15.6,92,0.8,16.8
2023-08-21,17.7,22.1,14.6,89,0.0,11.3
2023-08-22,18.7,23.5,15.1,86,0.0,13.4
2023-08-23,19.9,26.9,15.3,77,0.7,14.6
2023-08-24,18.2,20.6,15.1,84,6.6,24.7
2023-08-25,15.4,17.9,12.6,80,1.7,21.6
2023-08-26,15.7,18.0,14.1,80,1.0,18.2
2023-08-27,15.8,17.5,13.6,83,1.1,23.0
2023-08-28,16.0,17.5,14.6,81,0.5,21.1
2023-08-29,15.9,17.8,13.5,85,1.4,18.1
2023-08-30,15.3,17.8,12.3,76,0.2,15.6
2023-08-31,17.5,19.2,15.9,91,6.8,28.5
2023-09-01,17.0,19.0,14.6,88,10.0,24.7
2023-09-02,16.5,20.5,12.8,86,0.2,17.6
2023-09-03,19.7,26.0,14.9,87,0.0,18.9
2023-09-04,24.6,30.2,21.5,68,0.0,19.9
2023-09-05,21.5,25.8,17.6,75,0.2,13.1
2023-09-06,21.7,28.9,16.8,77,0.0,20.6
2023-09-07,22.2,25.8,19.2,80,0.0,12.2
2023-09-08,21.0,25.8,17.1,86,1.3,13.5
2023-09-09,20.8,26.2,17.1,86,16.5,18.0
2023-09-10,19.5,22.0,17.2,90,1.2,16.1
2023-09-11,18.5,20.4,16.7,93,0.7,12.2
2023-09-12,17.2,19.6,14.7,84,0.2,18.3
2023-09-13,15.7,18.9,12.6,82,1.2,14.6
2023-09-14,15.3,20.3,11.9,85,0.0,11.4
2023-09-15,18.3,23.3,14.0,81,0.9,18.4
2023-09-16,19.1,21.8,17.2,90,6.6,21.2
2023-09-17,17.8,20.2,16.0,89,14.3,20.2
2023-09-18,16.5,17.8,15.4,84,6.1,28.7
2023-09-19,16.9,18.0,15.2,84,2.1,28.5
2023-09-20,17.1,18.5,14.9,88,35.0,42.0
2023-09-21,13.8,14.8,11.8,80,14.5,23.5
2023-09-22,12.9,16.6,10.6,77,3.2,22.5
2023-09-23,13.9,17.1,9.9,72,0.0,24.3
2023-09-24,18.0,19.8,16.9,83,2.0,40.7
2023-09-25,16.8,18.9,14.8,88,0.5,21.4
2023-09-26,17.1,18.7,15.9,92,4.1,21.5
2023-09-27,17.4,19.1,15.8,88,2.0,35.2
2023-09-28,17.0,19.0,14.9,86,3.0,35.2
2023-09-29,15.4,18.0,10.9,83,0.2,30.3
2023-09-30,15.7,20.1,11.1,88,0.1,27.3
2023-10-01,17.5,19.5,14.4,91,0.1,19.2
2023-10-02,16.4,20.4,13.8,96,0.3,22.2
2023-10-03,15.1,17.1,11.9,80,0.2,23.5
2023-10-04,13.7,16.3,11.1,79,0.2,15.5
2023-10-05,13.8,17.7,9.7,87,0.0,13.2
2023-10-06,15.5,19.3,13.1,88,0.0,14.7
2023-10-07,17.2,22.5,13.9,75,0.0,14.6
2023-10-08,17.0,23.5,11.6,74,0.0,10.7
2023-10-09,16.6,22.7,12.1,73,0.0,12.4
2023-10-10,16.2,17.8,15.5,94,0.0,13.8
2023-10-11,17.1,19.7,14.6,90,4.2,22.7
2023-10-12,17.9,19.0,17.3,94,3.5,27.0
2023-10-13,18.0,20.4,13.9,82,4.5,45.8
2023-10-14,13.0,14.3,9.4,66,0.0,18.7
2023-10-15,11.6,14.5,8.4,66,0.0,16.3
2023-10-16,11.3,14.6,9.1,59,0.2,20.8
2023-10-17,14.9,19.4,10.9,68,3.0,29.5
2023-10-18,17.0,19.0,15.6,89,11.4,37.9
2023-10-19,15.4,16.8,13.6,88,9.0,33.2
2023-10-20,13.1,15.9,11.0,89,4.0,35.0
2023-10-21,12.4,13.3,11.8,88,27.0,43.3
2023-10-22,13.3,15.4,11.8,74,0.8,23.0
2023-10-23,13.0,14.2,12.0,83,5.8,27.7
2023-10-24,12.3,13.6,10.3,83,3.6,21.4
2023-10-25,13.0,15.2,9.8,90,12.0,29.6
2023-10-26,13.8,15.4,12.2,82,7.0,26.3
2023-10-27,12.4,13.8,11.5,81,7.8,32.5
2023-10-28,12.8,14.6,11.1,81,21.4,35.5
2023-10-29,12.2,13.4,10.4,73,8.0,41.3
2023-10-30,12.5,14.6,10.8,77,3.7,27.8
2023-10-31,13.5,14.8,11.8,85,4.4,39.9
2023-11-01,12.8,14.9,11.1,79,25.0,53.8
2023-11-02,10.3,13.1,8.6,74,18.9,78.3
2023-11-03,10.6,13.0,8.5,78,3.7,34.1
2023-11-04,11.5,14.1,10.4,83,18.4,43.8
2023-11-05,11.5,13.1,10.5,74,1.5,31.7
2023-11-06,10.2,11.1,9.0,81,8.4,26.5
2023-11-07,10.7,12.9,8.8,69,0.3,19.1
2023-11-08,12.1,14.2,10.2,82,7.4,39.9
2023-11-09,10.2,11.8,9.0,73,4.6,37.1
2023-11-10,11.3,13.0,9.6,68,0.7,42.5
2023-11-11,10.0,13.5,6.9,85,17.6,28.3
2023-11-12,13.6,14.8,12.9,90,9.0,38.2
2023-11-13,14.4,15.3,12.9,88,6.9,42.3
2023-11-14,13.2,13.9,11.8,83,11.3,37.4
2023-11-15,11.7,13.1,10.9,86,1.7,19.5
2023-11-16,11.8,14.6,10.2,85,13.0,43.3
2023-11-17,11.0,12.9,9.3,82,5.0,24.9
2023-11-18,14.5,15.4,12.5,95,12.1,33.4
2023-11-19,13.0,14.0,11.9,85,0.8,36.4
2023-11-20,11.8,12.9,10.9,82,1.5,32.1
2023-11-21,10.7,11.8,9.6,82,1.6,26.4
2023-11-22,10.4,12.4,8.4,81,0.0,17.1
2023-11-23,11.5,12.8,10.7,86,0.0,18.8
2023-11-24,11.5,13.1,10.1,83,0.2,20.1
2023-11-25,7.7,9.9,6.3,78,0.0,10.7
2023-11-26,10.0,11.8,7.5,86,6.7,26.4
2023-11-27,10.9,11.9,10.1,90,10.9,26.2
2023-11-28,8.5,10.6,6.1,72,0.0,18.7
2023-11-29,7.6,9.8,5.0,84,1.3,14.3
2023-11-30,7.5,9.2,5.2,88,8.4,24.9
2023-12-01,5.1,7.8,3.3,85,0.0,20.6
2023-12-02,4.7,7.3,1.0,77,1.8,21.4
2023-12-03,9.9,11.8,7.6,80,18.0,49.2
2023-12-04,9.4,10.9,7.3,82,6.4,37.5
2023-12-05,8.3,9.7,5.2,62,0.0,30.8
2023-12-06,7.4,10.8,2.8,81,2.9,33.5
2023-12-07,11.6,13.5,10.9,91,25.0,35.5
2023-12-08,10.7,11.9,9.4,81,1.8,27.5
2023-12-09,12.7,14.2,11.2,87,18.3,38.7
2023-12-10,12.5,14.6,10.9,89,4.0,35.4
